,rating,user_id,book_id,work_id,genres,romance,history,biography,fantasy,fiction,mistery,classic
0,0,8842281e1d1347389f2ab93d60773d4d,25735618,,[],0,0,0,0,0,0,0
1,5,8842281e1d1347389f2ab93d60773d4d,24375664,,[],0,0,0,0,0,0,0
2,5,8842281e1d1347389f2ab93d60773d4d,18245960,,[],0,0,0,0,0,0,0
3,3,8842281e1d1347389f2ab93d60773d4d,6392944,,[],0,0,0,0,0,0,0
4,4,8842281e1d1347389f2ab93d60773d4d,22078596,,[],0,0,0,0,0,0,0
5,4,8842281e1d1347389f2ab93d60773d4d,6644782,,[],0,0,0,0,0,0,0
6,5,8842281e1d1347389f2ab93d60773d4d,6480781,,[],0,0,0,0,0,0,0
7,4,8842281e1d1347389f2ab93d60773d4d,9460786,,[],0,0,0,0,0,0,0
8,2,8842281e1d1347389f2ab93d60773d4d,10884,,[],0,0,0,0,0,0,0
9,5,8842281e1d1347389f2ab93d60773d4d,29983426,,[],0,0,0,0,0,0,0
10,5,8842281e1d1347389f2ab93d60773d4d,33232571,,[],0,0,0,0,0,0,0
11,5,8842281e1d1347389f2ab93d60773d4d,29893493,,[],0,0,0,0,0,0,0
12,4,8842281e1d1347389f2ab93d60773d4d,28114110,,[],0,0,0,0,0,0,0
13,3,8842281e1d1347389f2ab93d60773d4d,1317946,,[],0,0,0,0,0,0,0
14,3,8842281e1d1347389f2ab93d60773d4d,16981,,[],0,0,0,0,0,0,0
15,5,8842281e1d1347389f2ab93d60773d4d,8191070,,[],0,0,0,0,0,0,0
16,3,8842281e1d1347389f2ab93d60773d4d,28684704,,[],0,0,0,0,0,0,0
17,4,8842281e1d1347389f2ab93d60773d4d,29584452,,[],0,0,0,0,0,0,0
18,5,8842281e1d1347389f2ab93d60773d4d,32768285,,[],0,0,0,0,0,0,0
19,5,8842281e1d1347389f2ab93d60773d4d,16064871,,[],0,0,0,0,0,0,0
20,4,8842281e1d1347389f2ab93d60773d4d,28119237,,[],0,0,0,0,0,0,0
21,3,8842281e1d1347389f2ab93d60773d4d,29058155,,[],0,0,0,0,0,0,0
22,5,8842281e1d1347389f2ab93d60773d4d,186074,2502879,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Magic', 'Science Fiction Fantasy']",0,0,0,1,1,0,0
23,5,8842281e1d1347389f2ab93d60773d4d,6621611,,[],0,0,0,0,0,0,0
24,4,8842281e1d1347389f2ab93d60773d4d,30282601,,[],0,0,0,0,0,0,0
25,5,8842281e1d1347389f2ab93d60773d4d,20873740,,[],0,0,0,0,0,0,0
26,5,8842281e1d1347389f2ab93d60773d4d,15839976,,[],0,0,0,0,0,0,0
27,4,8842281e1d1347389f2ab93d60773d4d,25884323,,[],0,0,0,0,0,0,0
28,5,8842281e1d1347389f2ab93d60773d4d,28699343,,[],0,0,0,0,0,0,0
29,4,8842281e1d1347389f2ab93d60773d4d,18143977,25491300,"['Historical Fiction', 'Fiction', 'Book Club', 'Historical', 'War', 'World War II', 'Audiobook']",0,0,0,0,1,0,0
30,4,8842281e1d1347389f2ab93d60773d4d,17563539,,[],0,0,0,0,0,0,0
31,4,8842281e1d1347389f2ab93d60773d4d,23310161,,[],0,0,0,0,0,0,0
32,5,8842281e1d1347389f2ab93d60773d4d,18662473,,[],0,0,0,0,0,0,0
33,4,8842281e1d1347389f2ab93d60773d4d,10405048,,[],0,0,0,0,0,0,0
34,5,8842281e1d1347389f2ab93d60773d4d,22875447,,[],0,0,0,0,0,0,0
35,5,8842281e1d1347389f2ab93d60773d4d,18296097,,[],0,0,0,0,0,0,0
36,3,8842281e1d1347389f2ab93d60773d4d,23158207,,[],0,0,0,0,0,0,0
37,5,8842281e1d1347389f2ab93d60773d4d,22034,,[],0,0,0,0,0,0,0
38,5,8842281e1d1347389f2ab93d60773d4d,22318578,,[],0,0,0,0,0,0,0
39,5,8842281e1d1347389f2ab93d60773d4d,1165806,,[],0,0,0,0,0,0,0
40,5,8842281e1d1347389f2ab93d60773d4d,817720,,[],0,0,0,0,0,0,0
41,4,8842281e1d1347389f2ab93d60773d4d,22551730,,[],0,0,0,0,0,0,0
42,5,8842281e1d1347389f2ab93d60773d4d,22816087,,[],0,0,0,0,0,0,0
43,5,8842281e1d1347389f2ab93d60773d4d,502362,,[],0,0,0,0,0,0,0
44,4,8842281e1d1347389f2ab93d60773d4d,22557272,,[],0,0,0,0,0,0,0
45,3,8842281e1d1347389f2ab93d60773d4d,9151181,,[],0,0,0,0,0,0,0
46,0,8842281e1d1347389f2ab93d60773d4d,20527133,,[],0,0,0,0,0,0,0
47,3,8842281e1d1347389f2ab93d60773d4d,17910054,,[],0,0,0,0,0,0,0
48,4,8842281e1d1347389f2ab93d60773d4d,25019,,[],0,0,0,0,0,0,0
